date,action,price,qty,pnl
2025-04-10 09:00:00,SELL,18732.643500000002,1,-2831.1299999999756
2025-04-16 23:00:00,BUY,18524.701,1,-2758.020000000033
2025-04-23 15:00:00,SELL,18735.224000000002,1,-2831.519999999946
2025-05-07 15:00:00,BUY,20048.041,1,-2984.820000000036
2025-05-08 09:00:00,SELL,20093.658750000002,1,-3036.8249999999534
2025-05-22 10:00:00,BUY,21302.076250000002,1,-3171.525000000038
2025-05-30 12:00:00,SELL,21195.036,1,-3203.2800000000134
2025-06-02 09:00:00,BUY,21424.689000000002,1,-3189.780000000028
2025-06-05 15:00:00,SELL,21525.34,1,-3253.199999999997
2025-06-13 09:00:00,BUY,21767.8435,1,-3240.8699999999953
2025-06-17 14:00:00,SELL,21707.960000000003,1,-3280.7999999999447
2025-06-18 12:00:00,BUY,21804.5,1,1020.0
2025-06-18 14:00:00,SELL,21692.8,1,-2234.0000000000146
2025-06-19 18:00:00,BUY,21855.496,1,-3253.9199999999983
2025-07-09 03:00:00,SELL,22893.0,1,21664.000000000015
2025-07-09 09:00:00,BUY,23064.697500000002,1,-3433.9500000000407
2025-07-10 20:00:00,SELL,22870.67375,1,-3456.524999999965
2025-07-14 11:00:00,BUY,23013.315000000002,1,-3426.3000000000466
2025-07-16 02:00:00,SELL,22973.397500000003,1,-3472.0499999999447
2025-08-04 04:00:00,BUY,23054.6225,1,-3432.450000000026
2025-08-07 14:00:00,SELL,23379.1315,1,-3533.3699999999953
2025-08-25 15:00:00,BUY,23495.5,1,5045.999999999985
2025-09-01 10:00:00,SELL,23491.5,1,-80.0
2025-09-04 15:00:00,BUY,23667.686250000002,1,-3523.7250000000495
2025-09-05 11:00:00,SELL,23528.999,1,-3556.0199999999895
2025-09-28 20:00:00,BUY,24779.4625,1,-3689.250000000029
2025-10-01 02:00:00,SELL,24656.479,1,-3726.4199999999983
2025-10-13 20:00:00,BUY,25013.202500000003,1,-3724.050000000061
2025-10-16 14:00:00,SELL,24740.54375,1,-3739.1249999999854
2025-10-17 07:00:00,BUY,24675.8915,1,-3673.8300000000163
2025-10-19 22:00:00,SELL,25051.8,1,2305.9999999999854
2025-10-20 09:00:00,BUY,25239.6885,1,-3757.7700000000186
2025-11-11 06:00:00,BUY,25623.0,1,10535.999999999985
2025-11-13 09:00:00,SELL,25430.827500000003,1,-3843.449999999939
2025-11-17 02:00:00,BUY,25298.82875,1,-3766.5750000000116
2025-12-10 02:00:00,SELL,25728.2,1,10574.000000000015
2025-12-10 08:00:00,BUY,25672.5,1,1114.0000000000146
2025-12-10 10:00:00,SELL,25566.8,1,-2114.0000000000146
2025-12-10 14:00:00,BUY,25758.551,1,-3835.020000000004
2025-12-24 00:00:00,SELL,25791.2,1,4260.0
