date,action,price,qty,pnl
2025-05-27 12:00:00,BUY,21430.2,1,-614.0000000000146
2025-05-27 14:00:00,BUY,21442.8,1,680.0
2025-05-27 16:00:00,BUY,21477.0,1,-210.0
2025-05-27 19:00:00,BUY,21470.8,1,0.0
2025-05-27 21:00:00,BUY,21463.0,1,135.99999999998545
2025-05-27 23:00:00,BUY,21444.8,1,414.00000000001455
2025-05-28 20:00:00,BUY,21820.5,1,-1085.9999999999854
2025-05-28 22:00:00,BUY,21791.0,1,64.00000000001455
2025-05-29 07:00:00,BUY,21654.5,1,2565.9999999999854
2025-05-29 10:00:00,SELL,21516.0,1,-40.0
2025-05-29 12:00:00,SELL,21456.2,1,2148.000000000029
2025-05-29 14:00:00,SELL,21362.8,1,-188.0000000000291
2025-05-29 16:00:00,SELL,21385.0,1,-524.0000000000146
2025-05-29 19:00:00,SELL,21317.0,1,-735.9999999999854
2025-05-29 21:00:00,SELL,21342.5,1,14.000000000014552
2025-05-29 23:00:00,SELL,21346.0,1,-255.99999999998545
2025-05-30 14:00:00,SELL,21300.8,1,3835.9999999999854
2025-06-02 14:00:00,BUY,21517.8,1,-1671.999999999971
2025-06-02 16:00:00,BUY,21554.5,1,-405.99999999998545
2025-06-02 19:00:00,BUY,21494.2,1,505.99999999998545
2025-06-02 21:00:00,BUY,21487.2,1,-74.00000000001455
2025-06-02 23:00:00,BUY,21461.8,1,128.0000000000291
2025-06-03 12:00:00,BUY,21737.8,1,-1535.9999999999854
2025-06-03 14:00:00,BUY,21710.8,1,140.0
2025-06-03 18:00:00,BUY,21709.5,1,-100.0
2025-06-03 20:00:00,BUY,21698.5,1,130.0
2025-06-05 15:00:00,BUY,21587.0,1,1884.0000000000146
2025-06-06 12:00:00,BUY,21755.2,1,1700.0
2025-06-08 18:00:00,BUY,21741.5,1,1600.0
2025-06-10 01:00:00,BUY,21829.0,1,2744.0000000000146
2025-06-12 22:00:00,SELL,21530.2,1,-720.0
2025-06-13 07:00:00,SELL,21683.8,1,2215.9999999999854
2025-06-13 12:00:00,BUY,21827.5,1,120.0
2025-06-13 14:00:00,BUY,21668.2,1,2391.999999999971
2025-06-16 10:00:00,BUY,21958.2,1,-620.0
2025-06-16 12:00:00,BUY,21938.8,1,140.0
2025-06-16 14:00:00,BUY,21940.8,1,-51.999999999970896
2025-06-16 16:00:00,BUY,21936.0,1,260.0
2025-06-17 20:00:00,SELL,21751.5,1,2054.0000000000146
2025-06-19 18:00:00,SELL,21894.2,1,8494.000000000015
2025-06-19 23:00:00,BUY,21900.8,1,-285.99999999998545
2025-06-23 12:00:00,BUY,21840.8,1,2264.0000000000146
2025-06-23 14:00:00,BUY,22036.0,1,320.0
2025-06-23 16:00:00,BUY,22072.2,1,11.999999999970896
2025-06-23 19:00:00,BUY,22237.2,1,-674.0000000000146
2025-06-23 21:00:00,BUY,22265.8,1,-780.0
2025-06-23 23:00:00,BUY,22246.5,1,-230.0
2025-07-14 21:00:00,BUY,23143.0,1,-14340.0
2025-07-16 02:00:00,BUY,22971.8,1,1684.0000000000146
2025-07-17 13:00:00,BUY,23275.2,1,-514.0000000000146
2025-07-17 19:00:00,BUY,23280.8,1,-565.9999999999854
2025-07-17 22:00:00,BUY,23279.5,1,-234.00000000001455
2025-07-18 12:00:00,BUY,23187.5,1,1760.0
2025-07-22 10:00:00,SELL,23224.0,1,1635.9999999999854
2025-07-30 20:00:00,BUY,23753.8,1,-500.0
2025-07-30 22:00:00,BUY,23787.0,1,-344.00000000001455
2025-07-31 09:00:00,BUY,23671.2,1,2531.999999999971
2025-07-31 13:00:00,SELL,23389.5,1,-3050.0
2025-07-31 15:00:00,SELL,23354.0,1,-1215.9999999999854
2025-07-31 18:00:00,SELL,23285.0,1,-890.0
2025-07-31 20:00:00,SELL,23280.2,1,-345.99999999998545
2025-07-31 22:00:00,SELL,23332.5,1,205.99999999998545
2025-08-01 06:00:00,SELL,23054.8,1,-4994.000000000015
2025-08-01 09:00:00,SELL,22883.0,1,-3704.0000000000146
2025-08-01 11:00:00,SELL,23007.0,1,1544.0000000000146
2025-08-01 13:00:00,SELL,22845.0,1,-680.0
2025-08-01 15:00:00,SELL,22880.5,1,205.99999999998545
2025-08-03 20:00:00,SELL,22956.0,1,1720.0
2025-08-04 11:00:00,BUY,23254.0,1,-160.0
2025-08-04 13:00:00,BUY,23268.0,1,50.0
2025-08-04 15:00:00,BUY,23297.2,1,-714.0000000000146
2025-08-04 18:00:00,BUY,23326.8,1,480.0
2025-08-04 20:00:00,BUY,23347.2,1,-248.0000000000291
2025-08-04 22:00:00,BUY,23340.2,1,11.999999999970896
2025-08-05 10:00:00,BUY,23181.2,1,3225.9999999999854
2025-08-05 13:00:00,SELL,23241.2,1,1700.0
2025-08-05 16:00:00,SELL,23092.0,1,-1100.0
2025-08-05 19:00:00,SELL,23053.0,1,-660.0
2025-08-05 22:00:00,SELL,23155.2,1,1654.0000000000146
2025-08-06 14:00:00,BUY,23416.0,1,-960.0
2025-08-06 16:00:00,BUY,23413.2,1,231.9999999999709
2025-08-06 19:00:00,BUY,23452.0,1,180.0
2025-08-06 21:00:00,BUY,23496.5,1,-170.0
2025-08-06 23:00:00,BUY,23490.0,1,-40.0
2025-08-11 15:00:00,BUY,23638.5,1,2540.0
2025-08-12 12:00:00,BUY,23899.8,1,-635.9999999999854
2025-08-12 14:00:00,BUY,23907.0,1,150.0
2025-08-12 16:00:00,BUY,23949.5,1,-300.0
2025-08-12 19:00:00,BUY,23960.2,1,-604.0000000000146
2025-08-12 21:00:00,BUY,23928.5,1,265.99999999998545
2025-08-12 23:00:00,BUY,23942.5,1,60.0
2025-08-19 12:00:00,SELL,23482.2,1,-1171.999999999971
2025-08-19 14:00:00,SELL,23462.2,1,-895.9999999999854
2025-08-19 16:00:00,SELL,23473.5,1,65.99999999998545
2025-08-19 19:00:00,SELL,23422.0,1,-724.0000000000146
2025-08-19 21:00:00,SELL,23377.8,1,-748.0000000000291
2025-08-19 23:00:00,SELL,23345.2,1,-945.9999999999854
2025-08-20 11:00:00,SELL,23171.8,1,2295.9999999999854
2025-08-21 18:00:00,SELL,23244.5,1,1665.9999999999854
2025-08-22 11:00:00,BUY,23569.0,1,675.9999999999854
2025-08-22 13:00:00,BUY,23605.8,1,-1545.9999999999854
2025-08-22 15:00:00,BUY,23565.0,1,430.0
2025-08-25 06:00:00,BUY,23480.2,1,2051.999999999971
2025-08-29 03:00:00,BUY,23684.5,1,1640.0
2025-08-29 10:00:00,SELL,23435.5,1,-1654.0000000000146
2025-08-29 12:00:00,SELL,23477.8,1,920.0
2025-08-29 14:00:00,SELL,23459.0,1,-10.0
2025-08-29 16:00:00,SELL,23454.5,1,-370.0
2025-09-02 08:00:00,SELL,23095.5,1,-3145.9999999999854
2025-09-02 11:00:00,SELL,23048.0,1,-2270.0
2025-09-02 13:00:00,SELL,23189.2,1,1260.0
2025-09-03 11:00:00,BUY,23415.5,1,1854.0000000000146
2025-09-04 18:00:00,BUY,23706.8,1,-805.9999999999854
2025-09-04 20:00:00,BUY,23729.8,1,-460.0
2025-09-04 22:00:00,BUY,23737.0,1,-44.00000000001455
2025-09-05 10:00:00,BUY,23548.0,1,3860.0
2025-09-17 10:00:00,BUY,24180.0,1,2635.9999999999854
2025-09-18 19:00:00,BUY,24740.0,1,-40.0
2025-09-18 21:00:00,BUY,24716.5,1,-125.99999999998545
2025-09-18 23:00:00,BUY,24712.0,1,0.0
2025-09-24 02:00:00,SELL,24881.8,1,1831.999999999971
2025-09-25 09:00:00,SELL,24452.8,1,-2844.0000000000146
2025-09-25 14:00:00,SELL,24628.0,1,2215.9999999999854
2025-10-01 14:00:00,BUY,25024.0,1,-1380.0
2025-10-01 16:00:00,BUY,25009.2,1,51.999999999970896
